time,a.s.x,a.s.y,a.v.x,a.v.y,a.a.x,a.a.y,b.s.x,b.s.y,b.v.x,b.v.y,b.a.x,b.a.y
0,0,0.1,0.05,0,0,0,0.1,0,0,0.05,0,0
0.0001,5.00E-06,0.1,0.05,0,0,0,0.1,5.00E-06,0,0.05,0,0
0.0002,1.00E-05,0.1,0.05,0,0,0,0.1,1.00E-05,0,0.05,0,0
0.0003,1.50E-05,0.1,0.05,0,0,0,0.1,1.50E-05,0,0.05,0,0
0.0004,2.00E-05,0.1,0.05,0,0,0,0.1,2.00E-05,0,0.05,0,0
0.0005,2.50E-05,0.1,0.05,0,0,0,0.1,2.50E-05,0,0.05,0,0
0.0006,3.00E-05,0.1,0.05,0,0,0,0.1,3.00E-05,0,0.05,0,0
0.0007,3.50E-05,0.1,0.05,0,0,0,0.1,3.50E-05,0,0.05,0,0
0.0008,4.00E-05,0.1,0.05,0,0,0,0.1,4.00E-05,0,0.05,0,0
0.0009,4.50E-05,0.1,0.05,0,0,0,0.1,4.50E-05,0,0.05,0,0
0.001,5.00E-05,0.1,0.05,0,0,0,0.1,5.00E-05,0,0.05,0,0
0.0011,5.50E-05,0.1,0.05,0,0,0,0.1,5.50E-05,0,0.05,0,0
0.0012,6.00E-05,0.1,0.05,0,0,0,0.1,6.00E-05,0,0.05,0,0
0.0013,6.50E-05,0.1,0.05,0,0,0,0.1,6.50E-05,0,0.05,0,0
0.0014,7.00E-05,0.1,0.05,0,0,0,0.1,7.00E-05,0,0.05,0,0
0.0015,7.50E-05,0.1,0.05,0,0,0,0.1,7.50E-05,0,0.05,0,0
0.0016,8.00E-05,0.1,0.05,0,0,0,0.1,8.00E-05,0,0.05,0,0
0.0017,8.50E-05,0.1,0.05,0,0,0,0.1,8.50E-05,0,0.05,0,0
0.0018,9.00E-05,0.1,0.05,0,0,0,0.1,9.00E-05,0,0.05,0,0
0.0019,9.50E-05,0.1,0.05,0,0,0,0.1,9.50E-05,0,0.05,0,0
0.002,0.0001,0.1,0.05,0,0,0,0.1,0.0001,0,0.05,0,0
0.0021,0.000105,0.1,0.05,0,0,0,0.1,0.000105,0,0.05,0,0
0.0022,0.00011,0.1,0.05,0,0,0,0.1,0.00011,0,0.05,0,0
0.0023,0.000115,0.1,0.05,0,0,0,0.1,0.000115,0,0.05,0,0
0.0024,0.00012,0.1,0.05,0,0,0,0.1,0.00012,0,0.05,0,0
0.0025,0.000125,0.1,0.05,0,0,0,0.1,0.000125,0,0.05,0,0
0.0026,0.00013,0.1,0.05,0,0,0,0.1,0.00013,0,0.05,0,0
0.0027,0.000135,0.1,0.05,0,0,0,0.1,0.000135,0,0.05,0,0
0.0028,0.00014,0.1,0.05,0,0,0,0.1,0.00014,0,0.05,0,0
0.0029,0.000145,0.1,0.05,0,0,0,0.1,0.000145,0,0.05,0,0
0.003,0.00015,0.1,0.05,0,0,0,0.1,0.00015,0,0.05,0,0
0.0031,0.000155,0.1,0.05,0,0,0,0.1,0.000155,0,0.05,0,0
0.0032,0.00016,0.1,0.05,0,0,0,0.1,0.00016,0,0.05,0,0
0.0033,0.000165,0.1,0.05,0,0,0,0.1,0.000165,0,0.05,0,0
0.0034,0.00017,0.1,0.05,0,0,0,0.1,0.00017,0,0.05,0,0
0.0035,0.000175,0.1,0.05,0,0,0,0.1,0.000175,0,0.05,0,0
0.0036,0.00018,0.1,0.05,0,0,0,0.1,0.00018,0,0.05,0,0
0.0037,0.000185,0.1,0.05,0,0,0,0.1,0.000185,0,0.05,0,0
0.0038,0.00019,0.1,0.05,0,0,0,0.1,0.00019,0,0.05,0,0
0.0039,0.000195,0.1,0.05,0,0,0,0.1,0.000195,0,0.05,0,0
0.004,0.0002,0.1,0.05,0,0,0,0.1,0.0002,0,0.05,0,0
0.0041,0.000205,0.1,0.05,0,0,0,0.1,0.000205,0,0.05,0,0
0.0042,0.00021,0.1,0.05,0,0,0,0.1,0.00021,0,0.05,0,0
0.0043,0.000215,0.1,0.05,0,0,0,0.1,0.000215,0,0.05,0,0
0.0044,0.00022,0.1,0.05,0,0,0,0.1,0.00022,0,0.05,0,0
0.0045,0.000225,0.1,0.05,0,0,0,0.1,0.000225,0,0.05,0,0
0.0046,0.00023,0.1,0.05,0,0,0,0.1,0.00023,0,0.05,0,0
0.0047,0.000235,0.1,0.05,0,0,0,0.1,0.000235,0,0.05,0,0
0.0048,0.00024,0.1,0.05,0,0,0,0.1,0.00024,0,0.05,0,0
0.0049,0.000245,0.1,0.05,0,0,0,0.1,0.000245,0,0.05,0,0
0.005,0.00025,0.1,0.05,0,0,0,0.1,0.00025,0,0.05,0,0
0.0051,0.000255,0.1,0.05,0,0,0,0.1,0.000255,0,0.05,0,0
0.0052,0.00026,0.1,0.05,0,0,0,0.1,0.00026,0,0.05,0,0
0.0053,0.000265,0.1,0.05,0,0,0,0.1,0.000265,0,0.05,0,0
0.0054,0.00027,0.1,0.05,0,0,0,0.1,0.00027,0,0.05,0,0
0.0055,0.000275,0.1,0.05,0,0,0,0.1,0.000275,0,0.05,0,0
0.0056,0.00028,0.1,0.05,0,0,0,0.1,0.00028,0,0.05,0,0
0.0057,0.000285,0.1,0.05,0,0,0,0.1,0.000285,0,0.05,0,0
0.0058,0.00029,0.1,0.05,0,0,0,0.1,0.00029,0,0.05,0,0
0.0059,0.000295,0.1,0.05,0,0,0,0.1,0.000295,0,0.05,0,0
0.006,0.0003,0.1,0.05,0,0,0,0.1,0.0003,0,0.05,0,0
0.0061,0.000305,0.1,0.05,0,0,0,0.1,0.000305,0,0.05,0,0
0.0062,0.00031,0.1,0.05,0,0,0,0.1,0.00031,0,0.05,0,0
0.0063,0.000315,0.1,0.05,0,0,0,0.1,0.000315,0,0.05,0,0
0.0064,0.00032,0.1,0.05,0,0,0,0.1,0.00032,0,0.05,0,0
0.0065,0.000325,0.1,0.05,0,0,0,0.1,0.000325,0,0.05,0,0
0.0066,0.00033,0.1,0.05,0,0,0,0.1,0.00033,0,0.05,0,0
0.0067,0.000335,0.1,0.05,0,0,0,0.1,0.000335,0,0.05,0,0
0.0068,0.00034,0.1,0.05,0,0,0,0.1,0.00034,0,0.05,0,0
0.0069,0.000345,0.1,0.05,0,0,0,0.1,0.000345,0,0.05,0,0
0.007,0.00035,0.1,0.05,0,0,0,0.1,0.00035,0,0.05,0,0
0.0071,0.000355,0.1,0.05,0,0,0,0.1,0.000355,0,0.05,0,0
0.0072,0.00036,0.1,0.05,0,0,0,0.1,0.00036,0,0.05,0,0
0.0073,0.000365,0.1,0.05,0,0,0,0.1,0.000365,0,0.05,0,0
0.0074,0.00037,0.1,0.05,0,0,0,0.1,0.00037,0,0.05,0,0
0.0075,0.000375,0.1,0.05,0,0,0,0.1,0.000375,0,0.05,0,0
0.0076,0.00038,0.1,0.05,0,0,0,0.1,0.00038,0,0.05,0,0
0.0077,0.000385,0.1,0.05,0,0,0,0.1,0.000385,0,0.05,0,0
0.0078,0.00039,0.1,0.05,0,0,0,0.1,0.00039,0,0.05,0,0
0.0079,0.000395,0.1,0.05,0,0,0,0.1,0.000395,0,0.05,0,0
0.008,0.0004,0.1,0.05,0,0,0,0.1,0.0004,0,0.05,0,0
0.0081,0.000405,0.1,0.05,0,0,0,0.1,0.000405,0,0.05,0,0
0.0082,0.00041,0.1,0.05,0,0,0,0.1,0.00041,0,0.05,0,0
0.0083,0.000415,0.1,0.05,0,0,0,0.1,0.000415,0,0.05,0,0
0.0084,0.00042,0.1,0.05,0,0,0,0.1,0.00042,0,0.05,0,0
0.0085,0.000425,0.1,0.05,0,0,0,0.1,0.000425,0,0.05,0,0
0.0086,0.00043,0.1,0.05,0,0,0,0.1,0.00043,0,0.05,0,0
0.0087,0.000435,0.1,0.05,0,0,0,0.1,0.000435,0,0.05,0,0
0.0088,0.00044,0.1,0.05,0,0,0,0.1,0.00044,0,0.05,0,0
0.0089,0.000445,0.1,0.05,0,0,0,0.1,0.000445,0,0.05,0,0
0.009,0.00045,0.1,0.05,0,0,0,0.1,0.00045,0,0.05,0,0
0.0091,0.000455,0.1,0.05,0,0,0,0.1,0.000455,0,0.05,0,0
0.0092,0.00046,0.1,0.05,0,0,0,0.1,0.00046,0,0.05,0,0
0.0093,0.000465,0.1,0.05,0,0,0,0.1,0.000465,0,0.05,0,0
0.0094,0.00047,0.1,0.05,0,0,0,0.1,0.00047,0,0.05,0,0
0.0095,0.000475,0.1,0.05,0,0,0,0.1,0.000475,0,0.05,0,0
0.0096,0.00048,0.1,0.05,0,0,0,0.1,0.00048,0,0.05,0,0
0.0097,0.000485,0.1,0.05,0,0,0,0.1,0.000485,0,0.05,0,0
0.0098,0.00049,0.1,0.05,0,0,0,0.1,0.00049,0,0.05,0,0
0.0099,0.000495,0.1,0.05,0,0,0,0.1,0.000495,0,0.05,0,0
0.01,0.0005,0.1,0.05,0,0,0,0.1,0.0005,0,0.05,0,0
0.0101,0.000505,0.1,0.05,0,0,0,0.1,0.000505,0,0.05,0,0
0.0102,0.00051,0.1,0.05,0,0,0,0.1,0.00051,0,0.05,0,0
